Reference,DOI,Plant,Substratum,Taxon,Species,Cover
Zagal et al. 2013,10.1007/s10750-013-1627-1,Ecklonia radiata,Natural,Hydrozoa,Obelia spp.,4.7112741
Fletcher and Day 1983,10.1016/0022-0981(83)90115-6,Ecklonia radiata,Artificial,Mix,"Membranipora membranacea, Obelia australis and Spirorbis spp.",27.099722
Fletcher and Day 1983,10.1016/0022-0981(83)90115-6,Ecklonia radiata,Artificial,Mix,"Membranipora membranacea, Obelia australis and Spirorbis spp.",22.292404
Fletcher and Day 1983,10.1016/0022-0981(83)90115-6,Ecklonia radiata,Artificial,Mix,"Membranipora membranacea, Obelia australis and Spirorbis spp.",11.858718
Marzinelli et al. 2009,10.1890/08-1893.1,Ecklonia radiata,Artificial,Mix,Membranipora membranacea and Obelia spp.,100
Marzinelli et al. 2009,10.1890/08-1893.1,Ecklonia radiata,Artificial,Mix,Membranipora membranacea and Obelia spp.,97.460526
Marzinelli et al. 2009,10.1890/08-1893.1,Ecklonia radiata,Artificial,Mix,Membranipora membranacea and Obelia spp.,94.07675
Marzinelli et al. 2009,10.1890/08-1893.1,Ecklonia radiata,Artificial,Mix,Membranipora membranacea and Obelia spp.,100
Marzinelli et al. 2009,10.1890/08-1893.1,Ecklonia radiata,Artificial,Mix,Membranipora membranacea and Obelia spp.,62.049288
Marzinelli et al. 2009,10.1890/08-1893.1,Ecklonia radiata,Artificial,Mix,Membranipora membranacea and Obelia spp.,64.539558
Marzinelli et al. 2009,10.1890/08-1893.1,Ecklonia radiata,Artificial,Mix,Membranipora membranacea and Obelia spp.,56.964981
Marzinelli et al. 2009,10.1890/08-1893.1,Ecklonia radiata,Artificial,Mix,Membranipora membranacea and Obelia spp.,80.103764
Marzinelli et al. 2011,10.1371/journal.pone.0021936,Ecklonia radiata,Artificial,Bryozoa,Membranipora membranacea,34.12468
Marzinelli et al. 2011,10.1371/journal.pone.0021936,Ecklonia radiata,Artificial,Bryozoa,Membranipora membranacea,52.2154
Marzinelli et al. 2011,10.1371/journal.pone.0021936,Ecklonia radiata,Artificial,Bryozoa,Membranipora membranacea,29.423056
Marzinelli et al. 2011,10.1371/journal.pone.0021936,Ecklonia radiata,Artificial,Bryozoa,Membranipora membranacea,88.95266
Marzinelli et al. 2011,10.1371/journal.pone.0021936,Ecklonia radiata,Artificial,Bryozoa,Membranipora membranacea,53.194153
Marzinelli 2012,10.1080/08927014.2012.674518,Ecklonia radiata,Artificial,Bryozoa,Membranipora membranacea,9.769245
Marzinelli 2012,10.1080/08927014.2012.674518,Ecklonia radiata,Artificial,Bryozoa,Membranipora membranacea,16.249414
Marzinelli 2012,10.1080/08927014.2012.674518,Ecklonia radiata,Artificial,Bryozoa,Membranipora membranacea,4.0455747
Marzinelli 2012,10.1080/08927014.2012.674518,Ecklonia radiata,Artificial,Bryozoa,Membranipora membranacea,16.223066
Marzinelli 2012,10.1080/08927014.2012.674518,Ecklonia radiata,Artificial,Bryozoa,Membranipora membranacea,35.234474
Marzinelli 2012,10.1080/08927014.2012.674518,Ecklonia radiata,Artificial,Bryozoa,Membranipora membranacea,38.149555
Marzinelli 2012,10.1080/08927014.2012.674518,Ecklonia radiata,Artificial,Bryozoa,Membranipora membranacea,60.963245
Marzinelli 2012,10.1080/08927014.2012.674518,Ecklonia radiata,Artificial,Bryozoa,Membranipora membranacea,70.849174
Marzinelli 2012,10.1080/08927014.2012.674518,Ecklonia radiata,Artificial,Bryozoa,Membranipora membranacea,34.347275
Marzinelli 2012,10.1080/08927014.2012.674518,Ecklonia radiata,Artificial,Bryozoa,Membranipora membranacea,40.811153
Marzinelli et al. 2012,10.3354/meps09472,Ecklonia radiata,Artificial,Bryozoa,Membranipora membranacea,31.822165
Marzinelli et al. 2012,10.3354/meps09472,Ecklonia radiata,Artificial,Bryozoa,Membranipora membranacea,4.2706966
Marzinelli et al. 2012,10.3354/meps09472,Ecklonia radiata,Artificial,Bryozoa,Membranipora membranacea,9.307928
Marzinelli et al. 2012,10.3354/meps09472,Ecklonia radiata,Artificial,Bryozoa,Membranipora membranacea,4.7963204
Marzinelli et al. 2012,10.3354/meps09472,Ecklonia radiata,Artificial,Bryozoa,Membranipora membranacea,16.053438
Marzinelli et al. 2012,10.3354/meps09472,Ecklonia radiata,Artificial,Bryozoa,Membranipora membranacea,0
Marzinelli et al. 2012,10.3354/meps09472,Ecklonia radiata,Artificial,Bryozoa,Membranipora membranacea,0.17439796
Marzinelli et al. 2012,10.3354/meps09472,Ecklonia radiata,Artificial,Bryozoa,Membranipora membranacea,13.28722
Marzinelli et al. 2012,10.3354/meps09472,Ecklonia radiata,Artificial,Bryozoa,Membranipora membranacea,2.1898727
Zagal et al. 2013,10.1007/s10750-013-1627-1,Ecklonia radiata,Artificial,Hydrozoa,Obelia spp.,17.5828183
Zagal et al. 2013,10.1007/s10750-013-1627-1,Ecklonia radiata,Artificial,Hydrozoa,Obelia spp.,11.783419
Zagal et al. 2013,10.1007/s10750-013-1627-1,Ecklonia radiata,Artificial,Hydrozoa,Obelia spp.,18.4391728
Zagal et al. 2013,10.1007/s10750-013-1627-1,Ecklonia radiata,Artificial,Hydrozoa,Obelia spp.,16.791928
Zagal et al. 2013,10.1007/s10750-013-1627-1,Ecklonia radiata,Artificial,Hydrozoa,Obelia spp.,16.967382
Zagal et al. 2013,10.1007/s10750-013-1627-1,Ecklonia radiata,Artificial,Hydrozoa,Obelia spp.,17.24498925
Zagal et al. 2013,10.1007/s10750-013-1627-1,Ecklonia radiata,Artificial,Hydrozoa,Obelia spp.,22.38437833
Zagal et al. 2013,10.1007/s10750-013-1627-1,Ecklonia radiata,Artificial,Hydrozoa,Obelia spp.,31.96300033
Zagal et al. 2013,10.1007/s10750-013-1627-1,Ecklonia radiata,Artificial,Hydrozoa,Obelia spp.,11.84266573
Zagal et al. 2013,10.1007/s10750-013-1627-1,Ecklonia radiata,Artificial,Hydrozoa,Obelia spp.,15.03239693
Zagal et al. 2013,10.1007/s10750-013-1627-1,Ecklonia radiata,Artificial,Hydrozoa,Obelia spp.,8.15943795
Zagal et al. 2013,10.1007/s10750-013-1627-1,Ecklonia radiata,Artificial,Hydrozoa,Obelia spp.,6.647119333
