Species,Site,Chl.a,Chl.c
Ecklonia radiata,Stewart Island,1.8042505,0.310115833
Desmarestia ligulata,Stewart Island,1.701142413,0.532966301
Desmarestia ligulata,Stewart Island,3.517824834,1.063305072
Desmarestia ligulata,Stewart Island,2.247600545,0.292599523
Desmarestia ligulata,Stewart Island,2.235090718,0.566833842
Desmarestia ligulata,Stewart Island,18.14912141,3.406706741
Carpophyllum flexuosum,Stewart Island,1.561239293,0.360367561
Carpophyllum flexuosum,Stewart Island,1.810565916,0.412893161
Carpophyllum flexuosum,Stewart Island,1.348867085,0.254911081
Carpophyllum flexuosum,Stewart Island,1.675350512,0.27199109
Carpophyllum flexuosum,Stewart Island,2.244216756,0.478454896
Macrocystis pyrifera,Stewart Island,4.668978796,0.919354842
Macrocystis pyrifera,Stewart Island,1.724782722,0.359296671
Macrocystis pyrifera,Stewart Island,1.791060906,0.531719531
Macrocystis pyrifera,Stewart Island,3.359527179,0.810186931
Macrocystis pyrifera,Stewart Island,2.676654948,0.710316476
Sargassum sinclairii,Stewart Island,1.671069766,0.303939286
Sargassum sinclairii,Stewart Island,2.376315999,0.35060191
Sargassum sinclairii,Stewart Island,2.127505424,0.300403162
Sargassum sinclairii,Stewart Island,2.972109412,0.53454473
Sargassum sinclairii,Stewart Island,1.973053821,0.519785789
Halopteris sp.,Stewart Island,1.130009503,0.430085972
Halopteris sp.,Stewart Island,1.054108935,0.363691679
Halopteris sp.,Stewart Island,1.190638229,0.245597527
Halopteris sp.,Stewart Island,0.519839109,0.133507171
Halopteris sp.,Stewart Island,0.689827239,0.252390462
Carpomita costata,Stewart Island,2.098981067,0.405516566
Carpomita costata,Stewart Island,2.522233202,-0.105818876
Carpomita costata,Stewart Island,3.536040533,0.923782129
Carpomita costata,Stewart Island,1.982437852,0.602984511
Carpomita costata,Stewart Island,2.138056164,0.549948345
Spatoglossum chapmanii,Stewart Island,4.661582379,1.019558177
Spatoglossum chapmanii,Stewart Island,5.214240136,1.475384568
Spatoglossum chapmanii,Stewart Island,3.880303901,0.799640065
Spatoglossum chapmanii,Stewart Island,2.444956155,0.512705812
Spatoglossum chapmanii,Stewart Island,4.648205056,0.938211399
Marginariella urvilliana,Stewart Island,4.154932651,1.024307605
Marginariella urvilliana,Stewart Island,2.332149699,0.59289118
Marginariella urvilliana,Stewart Island,4.040978432,0.87160073
Marginariella urvilliana,Stewart Island,3.880564275,0.684289809
Marginariella urvilliana,Stewart Island,1.968422077,0.4182241
Landsburgia quercifolia ,Karitane,1.379162091,0.297924612
Landsburgia quercifolia ,Karitane,0.794359286,0.263695608
Landsburgia quercifolia ,Karitane,0.817055019,0.193912359
Landsburgia quercifolia ,Karitane,0.427303028,0.126369328
Landsburgia quercifolia ,Karitane,1.239515316,0.333556298
Macrocystis pyrifera,Karitane,1.158023,0.249217241
Macrocystis pyrifera,Karitane,1.730387668,0.320749262
Macrocystis pyrifera,Karitane,0.989693536,0.219908207
Macrocystis pyrifera,Karitane,1.933362531,0.32100758
Macrocystis pyrifera,Karitane,1.248706004,0.272052182
Desmarestia ligulata,Karitane,3.578961799,0.606512744
Desmarestia ligulata,Karitane,9.445262219,1.929238292
Desmarestia ligulata,Karitane,1.95585108,0.433043861
Desmarestia ligulata,Karitane,1.950851276,0.447836556
Desmarestia ligulata,Karitane,2.397581742,0.405167294
Xiphophora gladiata,Karitane,2.335615574,0.29255045
Xiphophora gladiata,Karitane,0.421001198,0.108313345
Xiphophora gladiata,Karitane,1.342433758,0.316158656
Xiphophora gladiata,Karitane,0.67214706,0.067609879
Xiphophora gladiata,Karitane,0.720501941,0.066349696
Dictyota kunthii,Karitane,3.384041847,0.559335754
Dictyota kunthii,Karitane,3.248399648,0.477667465
Dictyota kunthii,Karitane,5.976298546,0.786282717
Dictyota kunthii,Karitane,2.274517208,0.314801423
Dictyota kunthii,Karitane,2.113849457,0.251486348
Sargassum sinclairii,Karitane,3.422948843,0.665463603
Sargassum sinclairii,Karitane,3.088696227,0.467163097
Sargassum sinclairii,Karitane,2.904214919,0.390898011
Sargassum sinclairii,Karitane,2.593676452,0.39673377
Sargassum sinclairii,Karitane,0.74077708,0.222642032
Spatoglossum chapmanii,Karitane,4.244970006,0.56850876
Spatoglossum chapmanii,Karitane,2.988357237,0.405496564
Spatoglossum chapmanii,Karitane,1.375721624,0.444822969
Spatoglossum chapmanii,Karitane,4.378938482,0.773216205
Spatoglossum chapmanii,Karitane,4.236277881,4.886127738
Marginariella boryana,Karitane,1.414365914,0.206674602
Marginariella boryana,Karitane,1.819564215,0.265715812
Marginariella boryana,Karitane,2.489045424,0.398470252
Marginariella boryana,Karitane,1.911532066,0.25640571
Marginariella boryana,Karitane,0.556584116,0.124501516
Undaria pinnatifida,Aramoana,4.290811565,0.494524796
Undaria pinnatifida,Aramoana,1.525202132,0.230499821
Undaria pinnatifida,Aramoana,0.988670239,0.154883975
Undaria pinnatifida,Aramoana,2.18667881,0.222516324
Undaria pinnatifida,Aramoana,0.360656706,0.061181535
Zonaria aureomarginata,Stewart Island,1.269384251,0.58982469
Zonaria aureomarginata,Stewart Island,0.788368874,0.380344429
Zonaria aureomarginata,Stewart Island,1.336141087,0.71502341
Zonaria aureomarginata,Stewart Island,1.2231606,0.550877024
Zonaria aureomarginata,Stewart Island,1.14102145,0.531937235
Desmarestia ligulata,Stewart Island,2.528678696,0.408715665
Desmarestia ligulata,Stewart Island,2.720667768,0.617524622
Desmarestia ligulata,Stewart Island,6.251813016,1.024440997
Desmarestia ligulata,Stewart Island,2.101741894,0.934519209
Desmarestia ligulata,Stewart Island,2.430191203,0.855479382
Carpomita costata,Stewart Island,4.795852508,0.77845776
Carpomita costata,Stewart Island,3.111960503,0.547328464
Carpomita costata,Stewart Island,1.525622604,0.283868481
Carpomita costata,Stewart Island,2.451886405,0.456738856
Carpomita costata,Stewart Island,2.176452282,0.393347372
Spatoglossum chapmanii,Stewart Island,4.801552258,0.813170325
Spatoglossum chapmanii,Stewart Island,4.02253735,0.624136247
Spatoglossum chapmanii,Stewart Island,3.355306378,0.573521186
Spatoglossum chapmanii,Stewart Island,3.362899961,0.461300636
Spatoglossum chapmanii,Stewart Island,7.237987168,1.047567018
Marginariella urvilliana,Stewart Island,3.186298906,0.409885899
Marginariella urvilliana,Stewart Island,2.47319106,0.389672812
Marginariella urvilliana,Stewart Island,5.204454273,0.653241801
Marginariella urvilliana,Stewart Island,3.215168574,0.362719062
Marginariella urvilliana,Stewart Island,1.951857666,0.18940977
