Reference,DOI,Plant,Farmed,Taxon,Species,Cover
Scheibling and Gagnon 2009,10.3354/meps08207,Saccharina longicruris,No,Bryozoa,Membranipora membranacea,1.9301316
Scheibling and Gagnon 2009,10.3354/meps08207,Saccharina longicruris,No,Bryozoa,Membranipora membranacea,19.98314
Scheibling and Gagnon 2009,10.3354/meps08207,Saccharina longicruris,No,Bryozoa,Membranipora membranacea,9.1239195
Scheibling and Gagnon 2009,10.3354/meps08207,Saccharina longicruris,No,Bryozoa,Membranipora membranacea,0
Scheibling and Gagnon 2009,10.3354/meps08207,Saccharina longicruris,No,Bryozoa,Membranipora membranacea,0
Scheibling and Gagnon 2009,10.3354/meps08207,Saccharina longicruris,No,Bryozoa,Membranipora membranacea,2.9047446
Scheibling and Gagnon 2009,10.3354/meps08207,Saccharina longicruris,No,Bryozoa,Membranipora membranacea,1.6286503
Scheibling and Gagnon 2009,10.3354/meps08207,Saccharina longicruris,No,Bryozoa,Membranipora membranacea,10.575593
Scheibling and Gagnon 2009,10.3354/meps08207,Saccharina longicruris,No,Bryozoa,Membranipora membranacea,44.282494
Scheibling and Gagnon 2009,10.3354/meps08207,Saccharina longicruris,No,Bryozoa,Membranipora membranacea,52.5903
Scheibling and Gagnon 2009,10.3354/meps08207,Saccharina longicruris,No,Bryozoa,Membranipora membranacea,62.976032
Scheibling and Gagnon 2009,10.3354/meps08207,Saccharina longicruris,No,Bryozoa,Membranipora membranacea,0.6857067
Scheibling and Gagnon 2009,10.3354/meps08207,Saccharina longicruris,No,Bryozoa,Membranipora membranacea,0.6883458
Scheibling and Gagnon 2009,10.3354/meps08207,Saccharina longicruris,No,Bryozoa,Membranipora membranacea,1.6494528
Scheibling and Gagnon 2009,10.3354/meps08207,Saccharina longicruris,No,Bryozoa,Membranipora membranacea,19.382507
Scheibling and Gagnon 2009,10.3354/meps08207,Saccharina longicruris,No,Bryozoa,Membranipora membranacea,20.98166
